Product ID,Product Category,Product Subcategory,Product Name,Product Description, Product Price ,Product Weight,Product Size,Order ID,Customer ID,Order Date,Order Status,Order Quantity,Order Total,Payment Method
1025,Touring Bikes,,Adventurer 1000,Durable bike for long adventures," $1,500 ",28,M,2025,3025,25/03/2023,Processing,2,3000,PayPal
1026,Touring Bikes,Adventure,Adventurer 2000,Premium adventure touring bike," $1,800 ",26,L,2026,3026,26/03/2023,Shipped,1,1800,Credit Card
1083,Road Bikes,Aero,AeroSpeed 1000,Aerodynamic road bike," $2,800 ",18,M,2083,3083,21/02/2023,Cancelled,3,8400,Credit Card
1084,Road Bikes,Aero,AeroSpeed 2000,Advanced aerodynamic road bike," $3,200 ",16,L,2084,3084,22/02/2023,Shipped,1,3200,Credit Card
1081,Hybrid Bikes,Commuter,CommutePro 1000,Efficient commuter hybrid bike," $1,200 ",27,M,2081,3081,19/02/2023,Shipped,2,2400,Credit Card
1082,Hybrid Bikes,Commuter,CommutePro 2000,High-performance commuter hybrid bike," $1,500 ",25,L,2082,3082,20/02/2023,Processing,1,1500,PayPal
1043,Road Bikes,Cyclocross,CrossRider 1000,Versatile cyclocross bike," $1,900 ",21,M,2043,3043,13/03/2023,Cancelled,3,5700,Credit Card
1044,Road Bikes,Cyclocross,CrossRider 2000,Advanced cyclocross bike," $2,200 ",19,L,2044,3044,14/03/2023,Shipped,1,2200,Credit Card
1087,Mountain Bikes,Downhill,DownhillDominator 1000,Downhill mountain bike," $2,900 ",34,M,2087,3087,25/02/2023,Shipped,2,5800,PayPal
1088,Mountain Bikes,Downhill,DownhillDominator 2000,High-performance downhill mountain bike," $3,300 ",32,L,2088,3088,26/02/2023,Processing,1,3300,PayPal
1045,Touring Bikes,Tandem,DuoExplorer 1000,Comfortable tandem touring bike," $2,000 ",36,M,2045,3045,15/03/2023,Processing,2,4000,PayPal
1046,Touring Bikes,Tandem,DuoExplorer 2000,High-performance tandem touring bike," $2,300 ",34,L,2046,3046,16/03/2023,Shipped,1,2300,Credit Card
1047,Mountain Bikes,Electric,E-Mountain 1000,Electric mountain bike," $3,000 ",40,M,2047,3047,17/03/2023,Shipped,2,6000,PayPal
1048,Mountain Bikes,Electric,E-Mountain 2000,High-performance electric mountain bike," $3,500 ",38,L,2048,3048,18/03/2023,Processing,1,3500,Credit Card
1107,Road Bikes,Endurance,EnduranceElite 1000,Endurance road bike," $2,100 ",20,M,2107,3107,07/02/2023,Shipped,2,4200,PayPal
1108,Road Bikes,Endurance,EnduranceElite 2000,High-performance endurance road bike," $2,600 ",18,L,2108,3108,08/02/2023,Processing,1,2600,Credit Card
1027,Mountain Bikes,Enduro,EnduroMaster 1000,Endurance-focused mountain bike," $2,300 ",30,S,2027,3027,27/03/2023,Shipped,2,4600,PayPal
1028,Mountain Bikes,Enduro,EnduroMaster 2000,High-performance enduro mountain bike," $2,600 ",28,L,2028,3028,28/03/2023,Processing,1,2600,Credit Card
1067,E-Bikes,Mountain,E-TrailBlazer 1000,Electric mountain bike," $3,200 ",42,M,2067,3067,07/03/2023,Shipped,2,6400,PayPal
1068,E-Bikes,Mountain,E-TrailBlazer 2000,High-performance electric mountain bike," $3,700 ",40,L,2068,3068,08/03/2023,Processing,1,3700,Credit Card
1005,Touring Bikes,Long Distance,Explorer 1000,Comfortable and durable touring bike," $1,300 ",27,M,2005,3005,05/03/2023,Processing,2,2600,PayPal
1006,Touring Bikes,Long Distance,Explorer 2000,Advanced touring bike," $1,600 ",24,L,2006,3006,06/03/2023,Shipped,1,1600,Credit Card
1041,Mountain Bikes,Fat Bikes,FatTrail 1000,All-terrain fat bike," $1,300 ",32,M,2041,3041,11/03/2023,Shipped,2,2600,Credit Card
1042,Mountain Bikes,Fat Bikes,FatTrail 2000,High-performance fat bike," $1,600 ",29,L,2042,3042,12/03/2023,Processing,1,1600,PayPal
1065,Touring Bikes,Folding,FoldAway 1000,Compact folding touring bike," $1,500 ",30,M,2065,3065,05/03/2023,Processing,2,3000,PayPal
1066,Touring Bikes,Folding,FoldAway 2000,Advanced folding touring bike," $1,800 ",28,L,2066,3066,06/03/2023,Shipped,1,1800,Credit Card
1103,Bmx Bikes,Freestyle,FreestyleMaster 1000,Beginner freestyle BMX bike, $400 ,25,M,2103,3103,03/02/2023,Cancelled,3,1200,Credit Card
1104,Bmx Bikes,Freestyle,FreestyleMaster 2000,Advanced freestyle BMX bike, $600 ,23,L,2104,3104,04/02/2023,Shipped,1,600,Credit Card
1063,Road Bikes,Gravel,GravelMaster 1000,All-terrain gravel bike," $1,700 ",22,M,2063,3063,03/03/2023,Cancelled,3,5100,Credit Card
1064,Road Bikes,Gravel,GravelMaster 2000,High-performance gravel bike," $2,100 ",20,L,2064,3064,04/03/2023,Shipped,1,2100,Credit Card
1007,Mountain Bikes,Downhill,GravityMaster 1000,Rugged and durable downhill bike," $2,200 ",29,M,2007,3007,07/03/2023,Shipped,2,4400,PayPal
1008,Mountain Bikes,Downhill,GravityMaster 2000,," $2,500 ",27,L,2008,3008,08/03/2023,Processing,1,2500,Credit Card
1101,Kids Bikes,Balance,LittleBalancer 1000,Starter balance bike for kids, $150 ,10,M,2101,3101,01/02/2023,Shipped,2,300,Credit Card
1102,Kids Bikes,Balance,LittleBalancer 2000,Upgraded balance bike for kids, $200 ,9,L,2102,3102,02/02/2023,Processing,1,200,PayPal
1021,Mountain Bikes,Trail,Pathfinder 1000,Agile trail bike for all skill levels," $1,100 ",24,M,2021,3021,21/03/2023,Shipped,2,2200,Credit Card
1022,Mountain Bikes,Trail,Pathfinder 2000,High-performance trail bike," $1,400 ",21,L,2022,3022,22/03/2023,Processing,1,1400,PayPal
1085,Touring Bikes,Recumbent,ReclineRider 1000,Comfortable recumbent touring bike," $2,000 ",33,M,2085,3085,23/02/2023,Processing,2,4000,PayPal
1086,Touring Bikes,Recumbent,ReclineRider 2000,High-performance recumbent touring bike," $2,400 ",30,L,2086,3086,24/02/2023,Shipped,1,2400,Credit Card
1003,Road Bikes,Racing,SpeedMaster 1000,Agile and aerodynamic road bike," $1,800 ",18,S,2003,3003,03/03/2023,Cancelled,3,5400,Credit Card
1004,Road Bikes,Racing,SpeedMaster 2000,Premium racing road bike," $2,100 ",16,L,2004,3004,04/03/2023,Shipped,1,2100,Credit Card
1001,Mountain Bikes,Cross Country,TrailBlazer 1000,Lightweight and versatile," $1,200 ",25,M,2001,3001,01/03/2023,Shipped,2,2400,Credit Card
1002,Mountain Bikes,Cross Country,TrailBlazer 2000,High-performance mountain bike," $1,500 ",22,L,2002,3002,02/03/2023,Processing,1,1500,PayPal
1061,E-Bikes,City,UrbanEco 1000,Eco-friendly electric city bike," $2,000 ",35,S,2061,3061,01/03/2023,Shipped,2,4000,Credit Card
1062,E-Bikes,City,UrbanEco 2000,High-performance electric city bike," $2,500 ",33,L,2062,3062,02/03/2023,Processing,1,2500,PayPal
1023,Road Bikes,Touring,Voyager 1000,Comfortable touring road bike," $1,700 ",20,M,2023,3023,23/03/2023,Cancelled,3,5100,Credit Card
1024,Road Bikes,Touring,Voyager 2000,Advanced touring road bike," $2,000 ",18,L,2024,3024,24/03/2023,Shipped,1,2000,Credit Card
1105,Mountain Bikes,Cross Country,XC-Rider 1000,Cross country mountain bike," $1,800 ",29,M,2105,3105,05/02/2023,Processing,2,3600,PayPal
1106,Mountain Bikes,Cross Country,XC-Rider 2000,High-performance cross country bike," $2,400 ",27,L,2106,3106,06/02/2023,Shipped,1,2400,Credit Card
